AmountSpent,InteractionID,LoginFrequency,TransactionYear,ChurnStatus,ProductCategory_Clothing,ProductCategory_Electronics,ProductCategory_Furniture,ProductCategory_Groceries,InteractionType_Feedback,InteractionType_Inquiry,InteractionType_No Interaction,ResolutionStatus_Resolved,ResolutionStatus_Unresolved,ServiceUsage_Online Banking,ServiceUsage_Website
416.5,6363.0,34,2022,0,False,True,False,False,False,True,False,True,False,False,False
54.96,3329.0,5,2022,1,True,False,False,False,False,True,False,True,False,False,True
197.5,3329.0,5,2022,1,False,True,False,False,False,True,False,True,False,False,True
101.31,3329.0,5,2022,1,False,False,True,False,False,True,False,True,False,False,True
397.37,3329.0,5,2022,1,True,False,False,False,False,True,False,True,False,False,True
285.21,3329.0,5,2022,1,False,True,False,False,False,True,False,True,False,False,True
311.34,3329.0,5,2022,1,False,True,False,False,False,True,False,True,False,False,True
199.73,3329.0,5,2022,1,False,False,False,True,False,True,False,True,False,False,True
241.06,9976.0,3,2022,0,False,False,False,False,False,True,False,True,False,False,True
51.07,9976.0,3,2022,0,True,False,False,False,False,True,False,True,False,False,True
419.95,9976.0,3,2022,0,False,False,True,False,False,True,False,True,False,False,True
287.72,9976.0,3,2022,0,False,False,False,True,False,True,False,True,False,False,True
299.86,9976.0,3,2022,0,False,False,False,True,False,True,False,True,False,False,True
403.32,9976.0,3,2022,0,False,False,True,False,False,True,False,True,False,False,True
125.64,7354.0,2,2022,0,False,True,False,False,False,True,False,True,False,False,True
125.64,5393.0,2,2022,0,False,True,False,False,False,True,False,False,True,False,True
123.59,7354.0,2,2022,0,False,False,False,True,False,True,False,True,False,False,True
123.59,5393.0,2,2022,0,False,False,False,True,False,True,False,False,True,False,True
241.45,7354.0,2,2022,0,False,True,False,False,False,True,False,True,False,False,True
241.45,5393.0,2,2022,0,False,True,False,False,False,True,False,False,True,False,True
44.22,7354.0,2,2022,0,True,False,False,False,False,True,False,True,False,False,True
44.22,5393.0,2,2022,0,True,False,False,False,False,True,False,False,True,False,True
382.39,7354.0,2,2022,0,False,False,True,False,False,True,False,True,False,False,True
382.39,5393.0,2,2022,0,False,False,True,False,False,True,False,False,True,False,True
475.69,-1.0,41,2022,0,False,False,False,True,False,False,True,False,False,False,True
178.91,-1.0,41,2022,0,False,False,True,False,False,False,True,False,False,False,True
373.51,-1.0,41,2022,0,False,False,False,True,False,False,True,False,False,False,True
155.76,-1.0,41,2022,0,False,True,False,False,False,False,True,False,False,False,True
308.8,-1.0,41,2022,0,False,True,False,False,False,False,True,False,False,False,True
219.98,-1.0,41,2022,0,False,False,True,False,False,False,True,False,False,False,True
218.98,-1.0,41,2022,0,False,True,False,False,False,False,True,False,False,False,True
69.86,-1.0,41,2022,0,False,False,False,True,False,False,True,False,False,False,True
365.57,2358.0,2,2022,0,False,False,False,False,True,False,False,True,False,False,True
448.86,2358.0,2,2022,0,True,False,False,False,True,False,False,True,False,False,True
41.7,2358.0,2,2022,0,False,False,True,False,True,False,False,True,False,False,True
104.0,2358.0,2,2022,0,False,False,True,False,True,False,False,True,False,False,True
204.16,2358.0,2,2022,0,False,True,False,False,True,False,False,True,False,False,True
86.73,-1.0,32,2022,0,False,False,False,False,False,False,True,False,False,False,False
263.24,4191.0,17,2022,1,False,False,False,False,False,True,False,False,True,True,False
263.24,8937.0,17,2022,1,False,False,False,False,True,False,False,False,True,True,False
483.91,4191.0,17,2022,1,True,False,False,False,False,True,False,False,True,True,False
483.91,8937.0,17,2022,1,True,False,False,False,True,False,False,False,True,True,False
240.92,4191.0,17,2022,1,False,False,False,False,False,True,False,False,True,True,False
240.92,8937.0,17,2022,1,False,False,False,False,True,False,False,False,True,True,False
346.24,4191.0,17,2022,1,True,False,False,False,False,True,False,False,True,True,False
346.24,8937.0,17,2022,1,True,False,False,False,True,False,False,False,True,True,False
253.68,4191.0,17,2022,1,False,False,True,False,False,True,False,False,True,True,False
253.68,8937.0,17,2022,1,False,False,True,False,True,False,False,False,True,True,False
161.56,4191.0,17,2022,1,False,True,False,False,False,True,False,False,True,True,False
161.56,8937.0,17,2022,1,False,True,False,False,True,False,False,False,True,True,False
297.33,4191.0,17,2022,1,False,False,True,False,False,True,False,False,True,True,False
297.33,8937.0,17,2022,1,False,False,True,False,True,False,False,False,True,True,False
96.67,7813.0,24,2022,0,False,True,False,False,False,True,False,True,False,False,True
472.21,7813.0,24,2022,0,True,False,False,False,False,True,False,True,False,False,True
44.26,7813.0,24,2022,0,False,False,False,True,False,True,False,True,False,False,True
378.14,7813.0,24,2022,0,False,False,False,True,False,True,False,True,False,False,True
325.96,7813.0,24,2022,0,True,False,False,False,False,True,False,True,False,False,True
5.86,-1.0,29,2022,1,False,False,True,False,False,False,True,False,False,True,False
35.29,-1.0,29,2022,1,True,False,False,False,False,False,True,False,False,True,False
303.4,-1.0,29,2022,1,False,False,False,True,False,False,True,False,False,True,False
223.85,-1.0,29,2022,1,False,False,True,False,False,False,True,False,False,True,False
471.18,-1.0,29,2022,1,False,False,True,False,False,False,True,False,False,True,False
179.0,-1.0,29,2022,1,False,False,False,True,False,False,True,False,False,True,False
178.78,-1.0,29,2022,1,False,True,False,False,False,False,True,False,False,True,False
334.62,6610.0,30,2022,0,False,False,False,False,True,False,False,True,False,True,False
334.62,7511.0,30,2022,0,False,False,False,False,True,False,False,False,True,True,False
462.0,6610.0,30,2022,0,False,False,False,True,True,False,False,True,False,True,False
462.0,7511.0,30,2022,0,False,False,False,True,True,False,False,False,True,True,False
163.78,6610.0,30,2022,0,False,False,False,False,True,False,False,True,False,True,False
163.78,7511.0,30,2022,0,False,False,False,False,True,False,False,False,True,True,False
426.06,6610.0,30,2022,0,False,False,False,False,True,False,False,True,False,True,False
426.06,7511.0,30,2022,0,False,False,False,False,True,False,False,False,True,True,False
347.37,6610.0,30,2022,0,False,False,False,True,True,False,False,True,False,True,False
347.37,7511.0,30,2022,0,False,False,False,True,True,False,False,False,True,True,False
87.1,8485.0,43,2022,0,False,True,False,False,True,False,False,True,False,False,True
87.1,7872.0,43,2022,0,False,True,False,False,False,True,False,False,True,False,True
173.13,9681.0,10,2022,0,False,True,False,False,False,False,False,True,False,False,False
54.17,9681.0,10,2022,0,True,False,False,False,False,False,False,True,False,False,False
164.72,9681.0,10,2022,0,False,False,False,False,False,False,False,True,False,False,False
442.99,4459.0,26,2022,0,False,False,True,False,False,False,False,False,True,True,False
442.99,8823.0,26,2022,0,False,False,True,False,True,False,False,True,False,True,False
412.2,4459.0,26,2022,0,False,False,True,False,False,False,False,False,True,True,False
412.2,8823.0,26,2022,0,False,False,True,False,True,False,False,True,False,True,False
186.37,4459.0,26,2022,0,False,False,False,True,False,False,False,False,True,True,False
186.37,8823.0,26,2022,0,False,False,False,True,True,False,False,True,False,True,False
150.22,4459.0,26,2022,0,False,False,False,False,False,False,False,False,True,True,False
150.22,8823.0,26,2022,0,False,False,False,False,True,False,False,True,False,True,False
478.59,4459.0,26,2022,0,False,False,False,True,False,False,False,False,True,True,False
478.59,8823.0,26,2022,0,False,False,False,True,True,False,False,True,False,True,False
335.44,4459.0,26,2022,0,True,False,False,False,False,False,False,False,True,True,False
335.44,8823.0,26,2022,0,True,False,False,False,True,False,False,True,False,True,False
468.35,4459.0,26,2022,0,False,False,True,False,False,False,False,False,True,True,False
468.35,8823.0,26,2022,0,False,False,True,False,True,False,False,True,False,True,False
213.22,4459.0,26,2022,0,False,False,False,True,False,False,False,False,True,True,False
213.22,8823.0,26,2022,0,False,False,False,True,True,False,False,True,False,True,False
156.21,4459.0,26,2022,0,False,False,False,True,False,False,False,False,True,True,False
156.21,8823.0,26,2022,0,False,False,False,True,True,False,False,True,False,True,False
283.39,6644.0,44,2022,0,False,False,False,False,True,False,False,False,True,True,False
283.39,3914.0,44,2022,0,False,False,False,False,False,False,False,False,True,True,False
383.9,6644.0,44,2022,0,False,True,False,False,True,False,False,False,True,True,False
383.9,3914.0,44,2022,0,False,True,False,False,False,False,False,False,True,True,False
160.79,6644.0,44,2022,0,False,False,False,False,True,False,False,False,True,True,False
160.79,3914.0,44,2022,0,False,False,False,False,False,False,False,False,True,True,False
273.54,6644.0,44,2022,0,False,False,True,False,True,False,False,False,True,True,False
273.54,3914.0,44,2022,0,False,False,True,False,False,False,False,False,True,True,False
68.63,6644.0,44,2022,0,False,False,False,True,True,False,False,False,True,True,False
68.63,3914.0,44,2022,0,False,False,False,True,False,False,False,False,True,True,False
406.29,6644.0,44,2022,0,False,False,False,True,True,False,False,False,True,True,False
406.29,3914.0,44,2022,0,False,False,False,True,False,False,False,False,True,True,False
151.88,6644.0,44,2022,0,False,False,True,False,True,False,False,False,True,True,False
151.88,3914.0,44,2022,0,False,False,True,False,False,False,False,False,True,True,False
185.6,6644.0,44,2022,0,True,False,False,False,True,False,False,False,True,True,False
185.6,3914.0,44,2022,0,True,False,False,False,False,False,False,False,True,True,False
52.67,5761.0,41,2022,1,False,False,False,False,False,True,False,True,False,True,False
52.67,9278.0,41,2022,1,False,False,False,False,False,True,False,True,False,True,False
352.99,5761.0,41,2022,1,False,False,False,False,False,True,False,True,False,True,False
352.99,9278.0,41,2022,1,False,False,False,False,False,True,False,True,False,True,False
250.51,5761.0,41,2022,1,False,False,True,False,False,True,False,True,False,True,False
250.51,9278.0,41,2022,1,False,False,True,False,False,True,False,True,False,True,False
154.7,5761.0,41,2022,1,False,False,False,False,False,True,False,True,False,True,False
154.7,9278.0,41,2022,1,False,False,False,False,False,True,False,True,False,True,False
470.53,5761.0,41,2022,1,True,False,False,False,False,True,False,True,False,True,False
470.53,9278.0,41,2022,1,True,False,False,False,False,True,False,True,False,True,False
97.06,5761.0,41,2022,1,False,True,False,False,False,True,False,True,False,True,False
97.06,9278.0,41,2022,1,False,True,False,False,False,True,False,True,False,True,False
159.18,5761.0,41,2022,1,False,False,True,False,False,True,False,True,False,True,False
159.18,9278.0,41,2022,1,False,False,True,False,False,True,False,True,False,True,False
147.82,5761.0,41,2022,1,False,False,True,False,False,True,False,True,False,True,False
147.82,9278.0,41,2022,1,False,False,True,False,False,True,False,True,False,True,False
334.33,5761.0,41,2022,1,False,False,False,False,False,True,False,True,False,True,False
334.33,9278.0,41,2022,1,False,False,False,False,False,True,False,True,False,True,False
67.2,2246.0,8,2022,0,False,False,False,True,False,True,False,False,True,True,False
67.2,7540.0,8,2022,0,False,False,False,True,False,True,False,True,False,True,False
92.54,2246.0,8,2022,0,False,True,False,False,False,True,False,False,True,True,False
92.54,7540.0,8,2022,0,False,True,False,False,False,True,False,True,False,True,False
344.04,2246.0,8,2022,0,False,True,False,False,False,True,False,False,True,True,False
344.04,7540.0,8,2022,0,False,True,False,False,False,True,False,True,False,True,False
431.79,2246.0,8,2022,0,False,False,False,False,False,True,False,False,True,True,False
431.79,7540.0,8,2022,0,False,False,False,False,False,True,False,True,False,True,False
121.62,2246.0,8,2022,0,False,False,True,False,False,True,False,False,True,True,False
121.62,7540.0,8,2022,0,False,False,True,False,False,True,False,True,False,True,False
124.02,2246.0,8,2022,0,True,False,False,False,False,True,False,False,True,True,False
124.02,7540.0,8,2022,0,True,False,False,False,False,True,False,True,False,True,False
444.06,2246.0,8,2022,0,False,False,False,True,False,True,False,False,True,True,False
444.06,7540.0,8,2022,0,False,False,False,True,False,True,False,True,False,True,False
164.11,9487.0,37,2022,1,False,False,False,True,False,True,False,False,True,False,True
97.23,9487.0,37,2022,1,False,False,True,False,False,True,False,False,True,False,True
281.73,9487.0,37,2022,1,False,False,False,False,False,True,False,False,True,False,True
154.09,9487.0,37,2022,1,False,False,True,False,False,True,False,False,True,False,True
254.22,9487.0,37,2022,1,False,False,False,False,False,True,False,False,True,False,True
382.15,9979.0,39,2022,0,False,False,True,False,False,False,False,False,True,True,False
382.15,8180.0,39,2022,0,False,False,True,False,False,False,False,False,True,True,False
477.83,9979.0,39,2022,0,False,False,True,False,False,False,False,False,True,True,False
477.83,8180.0,39,2022,0,False,False,True,False,False,False,False,False,True,True,False
19.8,9979.0,39,2022,0,False,False,False,True,False,False,False,False,True,True,False
19.8,8180.0,39,2022,0,False,False,False,True,False,False,False,False,True,True,False
125.66,9979.0,39,2022,0,False,False,True,False,False,False,False,False,True,True,False
125.66,8180.0,39,2022,0,False,False,True,False,False,False,False,False,True,True,False
11.82,9979.0,39,2022,0,True,False,False,False,False,False,False,False,True,True,False
11.82,8180.0,39,2022,0,True,False,False,False,False,False,False,False,True,True,False
345.75,9094.0,16,2022,0,False,False,False,True,True,False,False,True,False,False,True
191.96,9094.0,16,2022,0,False,True,False,False,True,False,False,True,False,False,True
324.99,9094.0,16,2022,0,True,False,False,False,True,False,False,True,False,False,True
488.22,9094.0,16,2022,0,True,False,False,False,True,False,False,True,False,False,True
39.34,9094.0,16,2022,0,False,False,False,True,True,False,False,True,False,False,True
485.84,9094.0,16,2022,0,True,False,False,False,True,False,False,True,False,False,True
122.1,9094.0,16,2022,0,False,False,False,True,True,False,False,True,False,False,True
315.55,9094.0,16,2022,0,False,False,True,False,True,False,False,True,False,False,True
462.1,9094.0,16,2022,0,False,False,False,False,True,False,False,True,False,False,True
97.31,-1.0,18,2022,0,False,False,False,False,False,False,True,False,False,False,True
217.3,-1.0,18,2022,0,False,False,False,True,False,False,True,False,False,False,True
64.35,-1.0,18,2022,0,False,False,False,False,False,False,True,False,False,False,True
153.58,-1.0,18,2022,0,False,False,False,False,False,False,True,False,False,False,True
380.48,-1.0,18,2022,0,False,False,False,True,False,False,True,False,False,False,True
247.99,2931.0,42,2022,0,False,False,True,False,False,True,False,True,False,False,False
247.99,6355.0,42,2022,0,False,False,True,False,False,True,False,True,False,False,False
463.48,2931.0,42,2022,0,False,False,False,True,False,True,False,True,False,False,False
463.48,6355.0,42,2022,0,False,False,False,True,False,True,False,True,False,False,False
218.65,2931.0,42,2022,0,True,False,False,False,False,True,False,True,False,False,False
218.65,6355.0,42,2022,0,True,False,False,False,False,True,False,True,False,False,False
89.96,2931.0,42,2022,0,False,False,True,False,False,True,False,True,False,False,False
89.96,6355.0,42,2022,0,False,False,True,False,False,True,False,True,False,False,False
402.9,2931.0,42,2022,0,False,False,False,False,False,True,False,True,False,False,False
402.9,6355.0,42,2022,0,False,False,False,False,False,True,False,True,False,False,False
159.75,2931.0,42,2022,0,False,False,True,False,False,True,False,True,False,False,False
159.75,6355.0,42,2022,0,False,False,True,False,False,True,False,True,False,False,False
345.79,4991.0,19,2022,0,False,False,False,True,False,False,False,False,True,False,False
345.79,6401.0,19,2022,0,False,False,False,True,False,False,False,True,False,False,False
457.01,4991.0,19,2022,0,False,False,False,False,False,False,False,False,True,False,False
457.01,6401.0,19,2022,0,False,False,False,False,False,False,False,True,False,False,False
273.08,4991.0,19,2022,0,False,False,False,True,False,False,False,False,True,False,False
