CustomerID,TransactionID,AmountSpent,InteractionID,LoginFrequency,TransactionYear,InteractionMonth,ProductCategory,InteractionType,ResolutionStatus,ServiceUsage
101,3000,400.0,2000,25,2022,3,Electronics,Inquiry,Resolved,Mobile App
202,4500,150.0,4000,8,2022,7,Clothing,Feedback,Resolved,Online Banking
303,6000,30.0,6500,2,2022,10,Books,Complaint,Unresolved,Website
404,7500,280.0,3500,18,2022,5,Furniture,Inquiry,Resolved,Mobile App
505,8000,15.0,7800,1,2022,11,Groceries,Complaint,Unresolved,Website
606,2000,350.0,1500,30,2022,2,Electronics,Feedback,Resolved,Online Banking
707,9000,45.0,8500,3,2022,9,Books,Complaint,Unresolved,Mobile App
808,3500,500.0,2500,22,2022,4,Furniture,Inquiry,Resolved,Online Banking
909,9500,10.0,9000,1,2022,12,Groceries,Complaint,Unresolved,Website
1010,5000,250.0,5000,15,2022,6,Clothing,Feedback,Resolved,Mobile App
